spec,longitude,latitude
Urocyon cinereoargenteus,-86.248873,34.6953649
Urocyon cinereoargenteus,-110.62167819,32.6949682543
Urocyon cinereoargenteus,-116.7463079413,33.0710780926
Urocyon cinereoargenteus,-122.9373633333,39.3130616667
Urocyon cinereoargenteus,-101.4097245202,28.7533475799
Urocyon cinereoargenteus,-78.7474527004,35.46661208
Urocyon cinereoargenteus,-93.63996,35.164324
Urocyon cinereoargenteus,-94.0355593844,44.1407508658
Urocyon cinereoargenteus,-73.3800757068,43.3313609699
Urocyon cinereoargenteus,-84.5451332,42.4873986
Urocyon cinereoargenteus,-98.1280456853,30.4788313242
Urocyon cinereoargenteus,-96.8457422924,32.2346575053
Urocyon cinereoargenteus,-121.9141528,37.8815913
Urocyon cinereoargenteus,-79.0643075278,41.8436558889
Urocyon cinereoargenteus,-82.7119416667,29.6441583333
Urocyon cinereoargenteus,-90.6252286211,18.7946911987
Urocyon cinereoargenteus,-99.4430286254,27.5459670269
Urocyon cinereoargenteus,-80.3021627985,36.2324503364
Urocyon cinereoargenteus,-104.299346471,19.0137533887
Urocyon cinereoargenteus,-98.2664559018,29.884689494
Urocyon cinereoargenteus,-111.1591778,33.2787325
Urocyon cinereoargenteus,-72.8192341419,42.3614727696
Urocyon cinereoargenteus,-120.854155,37.5241669722
Urocyon cinereoargenteus,-123.1212613732,42.7850682149
Urocyon cinereoargenteus,-73.9645183459,4.9507674221
Urocyon cinereoargenteus,-97.6941,32.76505
Urocyon cinereoargenteus,-90.1030225504,47.9662636645
Urocyon cinereoargenteus,-78.1462861111,36.5977111111
Urocyon cinereoargenteus,-100.6725233333,20.0509066667
Urocyon cinereoargenteus,-82.19815,33.5435666667
Urocyon cinereoargenteus,-83.0450655,29.3736667
Urocyon cinereoargenteus,-121.436132975,41.2383138202
Urocyon cinereoargenteus,-104.93747612,38.85461501
Urocyon cinereoargenteus,-85.8824205883,30.6634591803
Urocyon cinereoargenteus,-96.6277708407,19.4017274234
Urocyon cinereoargenteus,-97.0138309007,32.6328605077
Urocyon cinereoargenteus,-101.8769009784,18.8394213574
Urocyon cinereoargenteus,-119.5408138889,38.5142166667
Urocyon cinereoargenteus,-88.5427166667,17.35772
Urocyon cinereoargenteus,-120.689654,38.19995
Urocyon cinereoargenteus,-97.3990962673,33.4316749842
Urocyon cinereoargenteus,-96.3388022035,36.6673329855
Urocyon cinereoargenteus,-71.4557342529,42.6526756287
